val_loss,epoch,step,train_loss,test_loss
5.135709762573242,0,6,,
,1,9,4.570645809173584,
3.2444534301757812,1,13,,
,2,19,2.216642141342163,
1.9025826454162598,2,20,,
1.2295866012573242,3,27,,
,4,29,1.1761647462844849,
0.97776198387146,4,34,,
,5,39,0.9114949107170105,
0.883394718170166,5,41,,
0.817245364189148,6,48,,
,7,49,0.8685837388038635,
0.7906946539878845,7,55,,
,8,59,0.7980111837387085,
0.7330775856971741,8,62,,
,9,69,0.7038939595222473,
0.6829954385757446,9,69,,
0.6470349431037903,10,76,,
,11,79,0.6254982352256775,
0.6189612150192261,11,83,,
,12,89,0.6121640801429749,
0.5933210849761963,12,90,,
0.5611832141876221,13,97,,
,14,99,0.5679159760475159,
0.5340322256088257,14,104,,
,15,109,0.5202826857566833,
0.5069624781608582,15,111,,
0.4838738739490509,16,118,,
,17,119,0.511145293712616,
0.4567999839782715,17,125,,
,18,129,0.46924373507499695,
0.43634936213493347,18,132,,
,19,139,0.4306456744670868,
0.4149100184440613,19,139,,
0.39523252844810486,20,146,,
,21,149,0.38293376564979553,
0.3802231252193451,21,153,,
,22,159,0.3819095194339752,
0.3662918210029602,22,160,,
0.35334527492523193,23,167,,
,24,169,0.36240875720977783,
0.34209829568862915,24,174,,
,25,179,0.34017157554626465,
0.32839393615722656,25,181,,
0.3146192133426666,26,188,,
,27,189,0.33881649374961853,
0.30398985743522644,27,195,,
,28,199,0.32390740513801575,
0.2940516769886017,28,202,,
,29,209,0.29143619537353516,
0.2846111059188843,29,209,,
0.27689120173454285,30,216,,
,31,219,0.2818654775619507,
0.27051782608032227,31,223,,
,32,229,0.2769211232662201,
0.26269662380218506,32,230,,
0.2572742700576782,33,237,,
,34,239,0.2733168303966522,
0.25252383947372437,34,244,,
,35,249,0.2537943720817566,
0.2471957802772522,35,251,,
0.2418942153453827,36,258,,
,37,259,0.26512834429740906,
0.23758958280086517,37,265,,
,38,269,0.25318679213523865,
0.23416276276111603,38,272,,
,39,279,0.23337768018245697,
0.22906962037086487,39,279,,
0.22588932514190674,40,286,,
,41,289,0.22929491102695465,
0.22022686898708344,41,293,,
,42,299,0.23151971399784088,
0.21644581854343414,42,300,,
0.21337512135505676,43,307,,
,44,309,0.22768661379814148,
0.20970295369625092,44,314,,
,45,319,0.2151842713356018,
0.2060353010892868,45,321,,
0.20321118831634521,46,328,,
,47,329,0.22532303631305695,
0.19986176490783691,47,335,,
,48,339,0.21288534998893738,
0.1975579559803009,48,342,,
,49,349,0.19970043003559113,
0.19405491650104523,49,349,,
,49,350,,0.19405491650104523
